Fitur;Ukuran;Bit;PCA;Kernel;C;Akurasi;Macro F1-score
BSIF;15x15;12;N/A;poly;1;97,292;97,253
BSIF;17x17;6;0,8;linear;100;97,396;97,245
BSIF;15x15;12;0,6;rbf;100;97,24;97,207
BSIF;15x15;12;0,6;rbf;10;97,24;97,207
BSIF;15x15;12;0,8;rbf;10;97,24;97,199
BSIF;15x15;12;0,8;rbf;100;97,24;97,199
BSIF;17x17;11;0,2;rbf;1;97,24;97,19
BSIF;17x17;6;0,6;linear;1;97,396;97,185
BSIF;17x17;6;N/A;linear;10;97,344;97,154
BSIF;17x17;6;N/A;linear;100;97,344;97,146
BSIF;15x15;9;0,6;linear;10;97,188;97,104
BSIF;15x15;9;0,6;linear;100;97,188;97,104
BSIF;15x15;10;0,2;rbf;1;97,188;97,088
BSIF;15x15;7;0,4;rbf;1;97,135;97,062
BSIF;15x15;9;N/A;poly;10;97,135;97,058
BSIF;15x15;9;N/A;poly;1;97,135;97,058
BSIF;15x15;9;N/A;poly;100;97,135;97,058
BSIF;15x15;8;0,4;rbf;1;97,188;97,02
BSIF;17x17;11;0,2;rbf;100;97,083;96,997
BSIF;17x17;11;0,2;rbf;10;97,083;96,997
BSIF;15x15;11;0,4;linear;10;97,031;96,947
BSIF;15x15;11;0,4;linear;100;97,031;96,947
BSIF;15x15;9;0,4;linear;1;97,031;96,888
BSIF;15x15;7;0,4;linear;1;96,979;96,882
BSIF;17x17;6;0,6;linear;100;97,031;96,862
BSIF;17x17;6;0,4;rbf;10;96,979;96,854
BSIF;17x17;6;0,4;rbf;100;96,979;96,854
BSIF;17x17;9;0,2;rbf;1;97,031;96,822
BSIF;15x15;10;0,2;linear;1;96,927;96,81
BSIF;15x15;8;0,4;linear;1;96,979;96,802
BSIF;15x15;12;0,4;rbf;100;96,823;96,764
BSIF;15x15;12;0,4;rbf;10;96,823;96,764
BSIF;15x15;12;0,8;rbf;1;96,771;96,727
BSIF;15x15;8;0,4;linear;100;96,927;96,714
BSIF;15x15;8;0,4;linear;10;96,927;96,714
BSIF;17x17;6;N/A;poly;100;96,927;96,699
BSIF;17x17;6;N/A;poly;1;96,927;96,699
BSIF;17x17;6;N/A;poly;10;96,927;96,699
BSIF;17x17;6;0,6;linear;10;96,875;96,698
BSIF;17x17;11;0,2;linear;10;96,771;96,674
BSIF;15x15;12;N/A;rbf;1;96,719;96,658
BSIF;17x17;9;0,2;linear;1;96,875;96,636
BSIF;17x17;11;0,2;linear;100;96,719;96,622
BSIF;15x15;12;0,4;linear;1;96,667;96,622
BSIF;15x15;9;0,4;linear;10;96,719;96,599
BSIF;15x15;9;0,4;linear;100;96,719;96,599
BSIF;13x13;10;N/A;rbf;100;96,667;96,571
BSIF;13x13;10;N/A;rbf;10;96,667;96,571
BSIF;15x15;12;0,4;linear;100;96,615;96,563
BSIF;15x15;12;0,4;linear;10;96,615;96,563
BSIF;13x13;10;0,8;rbf;1;96,719;96,557
BSIF;13x13;10;0,6;rbf;1;96,719;96,551
BSIF;15x15;10;0,2;rbf;10;96,667;96,541
BSIF;15x15;10;0,2;rbf;100;96,667;96,541
BSIF;17x17;9;0,2;rbf;100;96,667;96,51
BSIF;15x15;12;0,6;rbf;1;96,562;96,51
BSIF;13x13;10;N/A;rbf;1;96,667;96,505
BSIF;17x17;9;0,2;rbf;10;96,667;96,501
BSIF;13x13;11;N/A;linear;10;96,667;96,489
BSIF;13x13;11;N/A;linear;100;96,667;96,489
BSIF;13x13;10;0,8;rbf;10;96,562;96,452
BSIF;13x13;10;0,8;rbf;100;96,562;96,452
BSIF;17x17;6;0,4;linear;1;96,667;96,427
BSIF;13x13;11;N/A;linear;1;96,615;96,421
BSIF;13x13;11;N/A;rbf;10;96,615;96,413
BSIF;13x13;11;N/A;rbf;100;96,615;96,413
BSIF;13x13;10;N/A;linear;1;96,51;96,413
BSIF;13x13;10;0,8;linear;1;96,458;96,381
BSIF;13x13;11;0,8;linear;100;96,51;96,34
BSIF;13x13;11;0,8;linear;10;96,51;96,34
BSIF;15x15;7;0,4;linear;100;96,458;96,327
BSIF;15x15;7;0,4;linear;10;96,458;96,327
BSIF;13x13;10;0,6;rbf;100;96,406;96,305
BSIF;13x13;10;0,6;rbf;10;96,406;96,305
BSIF;13x13;10;N/A;linear;100;96,406;96,292
BSIF;13x13;10;N/A;linear;10;96,406;96,292
BSIF;13x13;11;0,6;linear;1;96,458;96,275
BSIF;13x13;10;0,8;linear;10;96,354;96,269
BSIF;13x13;10;0,8;linear;100;96,354;96,269
BSIF;13x13;11;0,8;linear;1;96,458;96,268
BSIF;13x13;10;0,6;linear;1;96,354;96,257
BSIF;17x17;6;0,4;linear;10;96,458;96,224
