Fitur;Ukuran;Bit;PCA;Kernel;C;Akurasi;Macro F1-score
MTCD+BSIF;17x17;8;0,4;rbf;100;99,635;99,629
MTCD+BSIF;17x17;8;0,8;rbf;100;99,635;99,629
MTCD+BSIF;17x17;8;0,4;rbf;10;99,635;99,629
MTCD+BSIF;17x17;8;0,8;rbf;10;99,635;99,629
MTCD+BSIF;17x17;8;0,6;rbf;10;99,635;99,629
MTCD+BSIF;17x17;8;0,6;rbf;100;99,635;99,629
MTCD+BSIF;17x17;11;N/A;rbf;10;99,635;99,629
MTCD+BSIF;17x17;11;N/A;rbf;100;99,635;99,629
MTCD+BSIF;17x17;10;0,6;rbf;10;99,635;99,629
MTCD+BSIF;17x17;10;0,6;rbf;100;99,635;99,629
MTCD+BSIF;17x17;11;0,4;linear;1;99,635;99,628
MTCD+BSIF;17x17;8;0,4;linear;1;99,635;99,625
MTCD+BSIF;17x17;7;0,2;linear;1;99,635;99,624
MTCD+BSIF;15x15;10;N/A;rbf;10;99,635;99,624
MTCD+BSIF;15x15;10;N/A;rbf;100;99,635;99,624
MTCD+BSIF;17x17;6;0,2;linear;1;99,635;99,623
MTCD+BSIF;15x15;7;N/A;linear;100;99,635;99,62
MTCD+BSIF;15x15;7;N/A;linear;10;99,635;99,62
MTCD+BSIF;15x15;9;0,4;linear;1;99,583;99,579
MTCD+BSIF;17x17;7;0,2;linear;10;99,583;99,579
MTCD+BSIF;17x17;7;0,2;linear;100;99,583;99,579
MTCD+BSIF;17x17;11;0,8;rbf;100;99,583;99,578
MTCD+BSIF;17x17;11;0,6;rbf;10;99,583;99,578
MTCD+BSIF;17x17;11;0,8;rbf;10;99,583;99,578
MTCD+BSIF;17x17;11;0,6;rbf;100;99,583;99,578
MTCD+BSIF;17x17;11;0,4;linear;100;99,583;99,575
MTCD+BSIF;17x17;11;0,4;linear;10;99,583;99,575
MTCD+BSIF;15x15;9;0,4;rbf;100;99,583;99,574
MTCD+BSIF;15x15;9;0,4;rbf;10;99,583;99,574
MTCD+BSIF;17x17;10;0,8;rbf;10;99,583;99,573
MTCD+BSIF;17x17;10;0,8;rbf;100;99,583;99,573
MTCD+BSIF;17x17;6;0,2;linear;100;99,583;99,57
MTCD+BSIF;17x17;6;0,2;linear;10;99,583;99,57
MTCD+BSIF;15x15;7;0,6;linear;100;99,583;99,568
MTCD+BSIF;15x15;7;0,8;linear;10;99,583;99,568
MTCD+BSIF;15x15;7;0,6;linear;10;99,583;99,568
MTCD+BSIF;15x15;7;0,8;linear;100;99,583;99,568
MTCD+BSIF;17x17;12;0,4;linear;1;99,531;99,525
MTCD+BSIF;17x17;12;0,4;linear;10;99,531;99,525
MTCD+BSIF;17x17;12;0,4;linear;100;99,531;99,525
MTCD+BSIF;15x15;10;0,8;rbf;10;99,531;99,522
MTCD+BSIF;15x15;10;0,8;rbf;100;99,531;99,522
MTCD+BSIF;15x15;10;0,4;linear;1;99,531;99,518
MTCD+BSIF;17x17;9;0,4;rbf;100;99,531;99,515
MTCD+BSIF;17x17;9;0,4;rbf;10;99,531;99,515
MTCD+BSIF;17x17;10;0,4;rbf;10;99,531;99,514
MTCD+BSIF;17x17;10;0,4;rbf;100;99,531;99,514
MTCD+BSIF;15x15;7;N/A;poly;100;99,531;99,511
MTCD+BSIF;15x15;7;N/A;poly;10;99,531;99,511
MTCD+BSIF;15x15;9;0,6;rbf;10;99,531;99,508
MTCD+BSIF;15x15;9;0,6;rbf;100;99,531;99,508
MTCD+BSIF;17x17;5;0,8;linear;100;99,531;99,503
MTCD+BSIF;17x17;5;N/A;poly;1;99,531;99,503
MTCD+BSIF;17x17;5;0,6;linear;1;99,531;99,503
MTCD+BSIF;17x17;5;0,8;linear;10;99,531;99,503
MTCD+BSIF;17x17;5;N/A;linear;10;99,531;99,503
MTCD+BSIF;17x17;5;0,8;linear;1;99,531;99,503
MTCD+BSIF;17x17;5;N/A;linear;1;99,531;99,503
MTCD+BSIF;17x17;5;0,4;linear;1;99,531;99,503
MTCD+BSIF;17x17;5;N/A;rbf;10;99,531;99,503
MTCD+BSIF;17x17;5;N/A;poly;10;99,531;99,503
MTCD+BSIF;17x17;5;N/A;poly;100;99,531;99,503
MTCD+BSIF;17x17;5;N/A;rbf;100;99,531;99,503
MTCD+BSIF;17x17;5;N/A;linear;100;99,531;99,503
MTCD+BSIF;17x17;9;0,6;rbf;1;99,479;99,471
MTCD+BSIF;17x17;9;0,2;linear;1;99,479;99,471
MTCD+BSIF;17x17;9;0,8;rbf;1;99,479;99,471
MTCD+BSIF;15x15;10;0,4;linear;100;99,479;99,466
MTCD+BSIF;15x15;10;0,4;linear;10;99,479;99,466
MTCD+BSIF;17x17;11;0,8;rbf;1;99,479;99,462
MTCD+BSIF;17x17;11;0,6;rbf;1;99,479;99,462
MTCD+BSIF;15x15;10;0,6;rbf;100;99,479;99,461
MTCD+BSIF;15x15;10;0,6;rbf;10;99,479;99,461
MTCD+BSIF;17x17;12;0,8;rbf;10;99,479;99,457
MTCD+BSIF;17x17;12;0,8;rbf;100;99,479;99,457
MTCD+BSIF;15x15;8;0,6;linear;1;99,479;99,456
MTCD+BSIF;15x15;9;0,8;rbf;10;99,479;99,455
MTCD+BSIF;15x15;9;0,8;rbf;100;99,479;99,455
MTCD+BSIF;17x17;5;0,4;linear;10;99,479;99,451
MTCD+BSIF;17x17;5;0,6;linear;10;99,479;99,451
MTCD+BSIF;17x17;5;0,4;linear;100;99,479;99,451
MTCD+BSIF;17x17;5;0,6;linear;100;99,479;99,451
MTCD+BSIF;15x15;7;N/A;rbf;100;99,479;99,448
MTCD+BSIF;17x17;9;0,4;rbf;1;99,427;99,418
MTCD+BSIF;17x17;11;0,4;rbf;100;99,427;99,416
