Fitur;Ukuran;Bit;PCA;Kernel;C;Akurasi
BSIF+MTCD;17x17;5;N/A;linear;10;99,531 $\pm$ 0,372
BSIF+MTCD;17x17;5;0,8;linear;1;99,531 $\pm$ 0,372
BSIF+MTCD;17x17;5;N/A;rbf;10;99,531 $\pm$ 0,372
BSIF+MTCD;17x17;5;N/A;rbf;100;99,531 $\pm$ 0,372
BSIF+MTCD;17x17;5;N/A;poly;100;99,531 $\pm$ 0,372
BSIF+MTCD;17x17;9;0,8;rbf;1;99,479 $\pm$ 0,312
BSIF+MTCD;17x17;9;0,2;linear;1;99,479 $\pm$ 0,104
BSIF+MTCD;15x15;10;0,4;linear;100;99,479 $\pm$ 0,312
BSIF+MTCD;15x15;10;0,4;linear;10;99,479 $\pm$ 0,312
BSIF+MTCD;17x17;11;0,8;rbf;1;99,479 $\pm$ 0,477
BSIF+MTCD;15x15;10;0,6;rbf;100;99,479 $\pm$ 0,233
BSIF+MTCD;15x15;10;0,6;rbf;10;99,479 $\pm$ 0,233
BSIF+MTCD;15x15;7;0,4;linear;10;99,479 $\pm$ 0,345
BSIF+MTCD;15x15;7;0,4;linear;100;99,479 $\pm$ 0,345
BSIF+MTCD;17x17;12;0,8;rbf;10;99,479 $\pm$ 0,312
BSIF+MTCD;17x17;12;0,8;rbf;100;99,479 $\pm$ 0,312
BSIF+MTCD;15x15;8;0,6;linear;1;99,479 $\pm$ 0,454
BSIF+MTCD;15x15;9;0,8;rbf;100;99,479 $\pm$ 0,454
BSIF+MTCD;15x15;9;0,8;rbf;10;99,479 $\pm$ 0,454
BSIF+MTCD;17x17;5;0,4;linear;100;99,479 $\pm$ 0,429
BSIF+MTCD;17x17;5;0,6;linear;10;99,479 $\pm$ 0,429
BSIF+MTCD;17x17;5;0,4;linear;10;99,479 $\pm$ 0,429
BSIF+MTCD;17x17;5;0,6;linear;100;99,479 $\pm$ 0,429
BSIF+MTCD;15x15;7;N/A;rbf;100;99,479 $\pm$ 0,454
BSIF+MTCD;17x17;11;0,4;rbf;10;99,427 $\pm$ 0,4
