Fitur;PCA;Kernel;C;Akurasi
MTCD;0,4;linear;10;99,583 $\pm$ 0,295
MTCD;0,4;linear;100;99,583 $\pm$ 0,295
MTCD;0,4;linear;100;99,583 $\pm$ 0,295
MTCD;0,4;linear;10;99,583 $\pm$ 0,295
MTCD;0,4;rbf;100;99,583 $\pm$ 0,39
MTCD;0,4;rbf;10;99,583 $\pm$ 0,39
MTCD;0,8;rbf;10;99,583 $\pm$ 0,295
MTCD;0,8;rbf;100;99,583 $\pm$ 0,295
MTCD;0,2;linear;100;99,583 $\pm$ 0,329
MTCD;0,2;linear;10;99,583 $\pm$ 0,329
MTCD;0,8;linear;10;99,583 $\pm$ 0,295
MTCD;0,6;linear;10;99,583 $\pm$ 0,295
MTCD;0,6;linear;100;99,583 $\pm$ 0,295
MTCD;0,8;linear;100;99,583 $\pm$ 0,295
MTCD;0,6;rbf;1;99,531 $\pm$ 0,342
MTCD;0,4;linear;1;99,531 $\pm$ 0,308
MTCD;0,4;linear;10;99,531 $\pm$ 0,308
MTCD;0,4;linear;100;99,531 $\pm$ 0,308
MTCD;0,6;rbf;100;99,531 $\pm$ 0,4
MTCD;0,6;rbf;10;99,531 $\pm$ 0,4
MTCD;0,8;rbf;10;99,531 $\pm$ 0,227
MTCD;0,8;rbf;100;99,531 $\pm$ 0,227
MTCD;0,4;linear;1;99,531 $\pm$ 0,227
MTCD;0,4;rbf;100;99,531 $\pm$ 0,271
MTCD;0,4;rbf;10;99,531 $\pm$ 0,271
MTCD;N/A;poly;10;99,531 $\pm$ 0,372
MTCD;N/A;poly;100;99,531 $\pm$ 0,372
MTCD;0,6;rbf;10;99,531 $\pm$ 0,372
MTCD;0,6;rbf;100;99,531 $\pm$ 0,372
MTCD;N/A;linear;100;99,531 $\pm$ 0,372
MTCD;0,4;linear;1;99,531 $\pm$ 0,372
MTCD;0,8;linear;10;99,531 $\pm$ 0,372
MTCD;0,6;linear;1;99,531 $\pm$ 0,372
MTCD;N/A;poly;1;99,531 $\pm$ 0,372
MTCD;N/A;linear;1;99,531 $\pm$ 0,372
MTCD;0,8;linear;100;99,531 $\pm$ 0,372
MTCD;N/A;poly;10;99,531 $\pm$ 0,372
MTCD;N/A;linear;10;99,531 $\pm$ 0,372
MTCD;0,8;linear;1;99,531 $\pm$ 0,372
MTCD;N/A;rbf;10;99,531 $\pm$ 0,372
MTCD;N/A;rbf;100;99,531 $\pm$ 0,372
MTCD;N/A;poly;100;99,531 $\pm$ 0,372
MTCD;0,8;rbf;1;99,479 $\pm$ 0,312
MTCD;0,2;linear;1;99,479 $\pm$ 0,104
MTCD;0,4;linear;100;99,479 $\pm$ 0,312
MTCD;0,4;linear;10;99,479 $\pm$ 0,312
MTCD;0,8;rbf;1;99,479 $\pm$ 0,477
MTCD;0,6;rbf;100;99,479 $\pm$ 0,233
