Fitur;Ukuran;Bit;PCA;Akurasi
MTCD+BSIF;17x17;5;0,6;98,333
MTCD+BSIF;17x17;5;0,8;98,333
MTCD+BSIF;15x15;12;0,2;98,333
MTCD+BSIF;13x13;12;N/A;98,333
MTCD+BSIF;13x13;12;0,6;98,333
MTCD+BSIF;13x13;12;0,8;98,333
MTCD+BSIF;13x13;12;0,4;98,333
MTCD+BSIF;11x11;11;0,2;98,333
MTCD+BSIF;9x9;10;0,6;98,333
MTCD+BSIF;9x9;10;0,2;98,333
MTCD+BSIF;9x9;9;0,8;97,917
MTCD+BSIF;9x9;9;N/A;97,917
MTCD+BSIF;9x9;9;0,4;97,917
MTCD+BSIF;11x11;9;0,6;97,917
MTCD+BSIF;11x11;9;N/A;97,917
MTCD+BSIF;11x11;9;0,8;97,917
MTCD+BSIF;7x7;5;0,6;97,917
MTCD+BSIF;7x7;5;N/A;97,917
MTCD+BSIF;7x7;5;0,8;97,917
MTCD+BSIF;11x11;11;0,6;97,917
MTCD+BSIF;11x11;11;N/A;97,917
MTCD+BSIF;11x11;11;0,8;97,917
MTCD+BSIF;11x11;11;0,4;97,917
MTCD+BSIF;9x9;10;N/A;97,917
MTCD+BSIF;9x9;10;0,8;97,917
MTCD+BSIF;9x9;10;0,4;97,917
MTCD+BSIF;11x11;10;0,2;97,917
MTCD+BSIF;11x11;9;0,4;97,5
MTCD+BSIF;11x11;9;0,2;97,5
MTCD+BSIF;9x9;7;0,6;97,5
MTCD+BSIF;9x9;7;N/A;97,5
MTCD+BSIF;9x9;7;0,8;97,5
MTCD+BSIF;7x7;5;0,4;97,5
MTCD+BSIF;13x13;12;0,2;97,5
MTCD+BSIF;9x9;7;0,4;97,083
MTCD+BSIF;11x11;5;0,8;97,083
MTCD+BSIF;11x11;5;N/A;97,083
MTCD+BSIF;11x11;5;0,4;97,083
MTCD+BSIF;11x11;5;0,6;97,083
MTCD+BSIF;9x9;12;0,8;96,667
MTCD+BSIF;9x9;12;0,6;96,667
MTCD+BSIF;9x9;12;N/A;96,667
MTCD+BSIF;11x11;12;0,4;96,667
MTCD+BSIF;11x11;12;0,2;96,667
MTCD+BSIF;11x11;12;0,6;96,667
MTCD+BSIF;11x11;12;N/A;96,667
MTCD+BSIF;11x11;12;0,8;96,667
MTCD+BSIF;9x9;8;0,6;96,25
MTCD+BSIF;9x9;8;N/A;96,25
MTCD+BSIF;9x9;8;0,8;96,25
MTCD+BSIF;11x11;8;0,6;96,25
MTCD+BSIF;11x11;8;N/A;96,25
MTCD+BSIF;11x11;8;0,8;96,25
MTCD+BSIF;11x11;8;0,4;96,25
MTCD+BSIF;9x9;7;0,2;96,25
MTCD+BSIF;11x11;7;0,6;96,25
MTCD+BSIF;11x11;7;0,8;96,25
MTCD+BSIF;11x11;7;0,4;96,25
MTCD+BSIF;11x11;7;N/A;96,25
MTCD+BSIF;9x9;12;0,4;96,25
MTCD+BSIF;9x9;8;0,2;95,833
MTCD+BSIF;5x5;8;0,6;95,833
MTCD+BSIF;5x5;8;N/A;95,833
MTCD+BSIF;5x5;8;0,4;95,833
MTCD+BSIF;5x5;8;0,2;95,833
MTCD+BSIF;5x5;8;0,8;95,833
MTCD+BSIF;9x9;6;0,6;95,833
MTCD+BSIF;9x9;6;N/A;95,833
MTCD+BSIF;9x9;6;0,8;95,833
MTCD+BSIF;9x9;6;0,4;95,833
MTCD+BSIF;7x7;6;0,6;95,833
MTCD+BSIF;7x7;6;0,8;95,833
MTCD+BSIF;7x7;6;0,4;95,833
MTCD+BSIF;7x7;6;N/A;95,833
MTCD+BSIF;11x11;6;0,6;95,833
MTCD+BSIF;11x11;6;0,4;95,833
MTCD+BSIF;11x11;6;N/A;95,833
MTCD+BSIF;11x11;6;0,8;95,833
MTCD+BSIF;9x9;12;0,2;95,833
MTCD+BSIF;9x9;11;N/A;95,833
MTCD+BSIF;9x9;11;0,8;95,833
MTCD+BSIF;9x9;8;0,4;95,417
MTCD+BSIF;11x11;7;0,2;95,417
MTCD+BSIF;9x9;5;N/A;95,417
MTCD+BSIF;9x9;5;0,2;95,417
MTCD+BSIF;11x11;5;0,2;95,417
MTCD+BSIF;9x9;11;0,6;95,417
MTCD+BSIF;11x11;6;0,2;95
MTCD+BSIF;9x9;5;0,8;95
MTCD+BSIF;9x9;5;0,6;95
MTCD+BSIF;9x9;5;0,4;95
MTCD+BSIF;7x7;5;0,2;95
MTCD+BSIF;5x5;5;N/A;95
MTCD+BSIF;5x5;5;0,8;95
MTCD+BSIF;9x9;11;0,4;95
MTCD+BSIF;9x9;11;0,2;95
MTCD+BSIF;7x7;7;0,6;94,583
MTCD+BSIF;7x7;7;N/A;94,583
MTCD+BSIF;7x7;7;0,2;94,583
MTCD+BSIF;7x7;7;0,8;94,583
MTCD+BSIF;9x9;6;0,2;94,583
MTCD+BSIF;7x7;6;0,2;94,583
MTCD+BSIF;5x5;5;0,6;94,583
MTCD+BSIF;5x5;5;0,4;94,583
MTCD+BSIF;5x5;5;0,2;94,583
MTCD+BSIF;7x7;12;0,4;94,583
MTCD+BSIF;7x7;9;0,4;94,167
MTCD+BSIF;5x5;9;0,6;94,167
MTCD+BSIF;5x5;9;0,8;94,167
MTCD+BSIF;5x5;9;0,4;94,167
MTCD+BSIF;5x5;9;N/A;94,167
MTCD+BSIF;7x7;7;0,4;94,167
MTCD+BSIF;5x5;6;0,6;94,167
MTCD+BSIF;5x5;6;N/A;94,167
MTCD+BSIF;5x5;6;0,4;94,167
MTCD+BSIF;5x5;6;0,8;94,167
MTCD+BSIF;7x7;9;0,6;93,75
MTCD+BSIF;7x7;9;0,8;93,75
MTCD+BSIF;7x7;9;N/A;93,75
MTCD+BSIF;11x11;8;0,2;93,75
MTCD+BSIF;5x5;6;0,2;93,75
MTCD+BSIF;7x7;12;0,8;93,75
MTCD+BSIF;7x7;12;N/A;93,75
MTCD+BSIF;7x7;12;0,6;93,75
MTCD+BSIF;7x7;9;0,2;93,333
MTCD+BSIF;5x5;9;0,2;93,333
MTCD+BSIF;5x5;10;0,4;93,333
MTCD+BSIF;5x5;10;0,6;93,333
MTCD+BSIF;7x7;8;N/A;92,917
MTCD+BSIF;7x7;8;0,8;92,917
MTCD+BSIF;5x5;7;0,2;92,917
MTCD+BSIF;5x5;7;0,4;92,917
MTCD+BSIF;5x5;7;N/A;92,917
MTCD+BSIF;5x5;7;0,8;92,917
MTCD+BSIF;5x5;7;0,6;92,917
MTCD+BSIF;5x5;11;0,2;92,917
MTCD+BSIF;5x5;10;0,8;92,917
MTCD+BSIF;5x5;10;N/A;92,917
MTCD+BSIF;7x7;8;0,6;92,5
MTCD+BSIF;3x3;5;0,4;92,5
MTCD+BSIF;3x3;5;0,8;92,5
MTCD+BSIF;3x3;5;N/A;92,5
MTCD+BSIF;3x3;5;0,6;92,5
MTCD+BSIF;7x7;12;0,2;92,5
MTCD+BSIF;7x7;8;0,4;92,083
MTCD+BSIF;7x7;8;0,2;92,083
MTCD+BSIF;3x3;5;0,2;92,083
MTCD+BSIF;5x5;11;0,6;92,083
MTCD+BSIF;5x5;11;0,8;92,083
MTCD+BSIF;5x5;11;N/A;92,083
MTCD+BSIF;7x7;10;0,6;92,083
MTCD+BSIF;7x7;10;0,8;92,083
MTCD+BSIF;7x7;10;N/A;92,083
MTCD+BSIF;3x3;6;0,6;91,667
MTCD+BSIF;3x3;6;0,8;91,667
MTCD+BSIF;3x3;6;N/A;91,667
MTCD+BSIF;7x7;11;0,6;91,667
MTCD+BSIF;7x7;11;0,8;91,667
MTCD+BSIF;7x7;11;N/A;91,667
MTCD+BSIF;7x7;11;0,4;91,667
MTCD+BSIF;5x5;11;0,4;91,667
MTCD+BSIF;7x7;10;0,4;91,667
MTCD+BSIF;5x5;10;0,2;91,667
MTCD+BSIF;5x5;12;0,6;91,25
MTCD+BSIF;5x5;12;N/A;91,25
MTCD+BSIF;5x5;12;0,8;91,25
MTCD+BSIF;3x3;6;0,4;90,833
MTCD+BSIF;5x5;12;0,4;90,833
MTCD+BSIF;7x7;10;0,2;90,833
MTCD+BSIF;3x3;6;0,2;90,417
MTCD+BSIF;5x5;12;0,2;90
MTCD+BSIF;7x7;11;0,2;89,583
MTCD+BSIF;3x3;8;0,8;82,083
MTCD+BSIF;3x3;8;0,4;82,083
MTCD+BSIF;3x3;8;N/A;82,083
MTCD+BSIF;3x3;8;0,2;82,083
MTCD+BSIF;3x3;8;0,6;82,083
MTCD+BSIF;3x3;7;0,8;80,833
MTCD+BSIF;3x3;7;0,6;80,833
MTCD+BSIF;3x3;7;N/A;80,833
MTCD+BSIF;3x3;7;0,2;80,417
MTCD+BSIF;3x3;7;0,4;80,417
