Fitur;Ukuran;Bit;PCA;Akurasi;Macro F1-score
BSIF+MTCD;11x11;11;0,8;97,917;97,699
BSIF+MTCD;11x11;11;N/A;97,917;97,699
BSIF+MTCD;9x9;10;0,6;97,917;97,699
BSIF+MTCD;9x9;10;N/A;97,917;97,699
BSIF+MTCD;9x9;10;0,8;97,917;97,699
BSIF+MTCD;17x17;5;0,2;98,333;97,694
BSIF+MTCD;17x17;11;0,2;97,917;97,657
BSIF+MTCD;11x11;10;0,2;97,5;97,403
BSIF+MTCD;9x9;7;0,8;97,5;97,36
BSIF+MTCD;9x9;7;N/A;97,5;97,36
BSIF+MTCD;9x9;7;0,6;97,5;97,36
BSIF+MTCD;11x11;9;0,4;97,5;97,339
BSIF+MTCD;13x13;11;0,2;97,5;97,282
BSIF+MTCD;11x11;11;0,4;97,5;97,276
BSIF+MTCD;15x15;10;0,2;97,917;97,27
BSIF+MTCD;7x7;5;0,4;97,5;97,233
BSIF+MTCD;11x11;11;0,6;97,5;97,233
BSIF+MTCD;11x11;11;0,2;97,083;96,81
BSIF+MTCD;11x11;5;N/A;97,083;96,746
BSIF+MTCD;11x11;5;0,6;97,083;96,746
BSIF+MTCD;11x11;5;0,8;97,083;96,746
BSIF+MTCD;9x9;12;0,6;97,083;96,508
BSIF+MTCD;9x9;7;0,4;97,083;96,508
BSIF+MTCD;11x11;9;0,2;96,667;96,387
BSIF+MTCD;11x11;5;0,4;96,667;96,28
BSIF+MTCD;11x11;12;0,6;96,667;96,244
BSIF+MTCD;11x11;12;0,8;96,667;96,244
BSIF+MTCD;11x11;12;0,4;96,667;96,244
BSIF+MTCD;11x11;12;N/A;96,667;96,244
BSIF+MTCD;9x9;12;N/A;96,667;96,091
BSIF+MTCD;9x9;12;0,8;96,667;96,091
BSIF+MTCD;11x11;7;0,8;96,667;95,836
BSIF+MTCD;11x11;7;0,4;96,25;95,715
BSIF+MTCD;9x9;12;0,4;96,25;95,668
BSIF+MTCD;9x9;6;0,4;96,25;95,661
BSIF+MTCD;9x9;11;0,8;95,833;95,498
BSIF+MTCD;9x9;11;N/A;95,833;95,498
BSIF+MTCD;11x11;8;0,4;96,25;95,477
BSIF+MTCD;11x11;8;0,6;96,25;95,477
BSIF+MTCD;11x11;8;N/A;96,25;95,477
BSIF+MTCD;11x11;8;0,8;96,25;95,477
BSIF+MTCD;11x11;7;0,2;95,833;95,418
BSIF+MTCD;11x11;7;0,6;96,25;95,413
BSIF+MTCD;11x11;7;N/A;96,25;95,413
BSIF+MTCD;9x9;8;0,8;96,25;95,392
BSIF+MTCD;9x9;8;N/A;96,25;95,392
BSIF+MTCD;11x11;6;0,6;95,833;95,366
BSIF+MTCD;11x11;6;0,8;95,833;95,366
BSIF+MTCD;11x11;6;N/A;95,833;95,366
BSIF+MTCD;11x11;6;0,2;95,833;95,291
BSIF+MTCD;11x11;12;0,2;95,833;95,09
BSIF+MTCD;9x9;8;0,6;95,833;95,053
BSIF+MTCD;9x9;11;0,6;95,417;95,032
BSIF+MTCD;11x11;6;0,4;95,417;95,026
BSIF+MTCD;9x9;6;N/A;95,833;94,989
BSIF+MTCD;9x9;6;0,6;95,833;94,989
BSIF+MTCD;9x9;6;0,8;95,833;94,989
BSIF+MTCD;9x9;7;0,2;95,417;94,909
BSIF+MTCD;9x9;5;0,8;95,417;94,73
BSIF+MTCD;9x9;5;N/A;95,417;94,73
BSIF+MTCD;7x7;5;0,2;95,833;94,709
BSIF+MTCD;9x9;8;0,4;95,417;94,588
BSIF+MTCD;7x7;6;0,6;95,833;94,582
BSIF+MTCD;7x7;6;N/A;95,833;94,582
BSIF+MTCD;7x7;6;0,8;95,833;94,582
BSIF+MTCD;5x5;8;0,2;95,833;94,556
BSIF+MTCD;5x5;8;N/A;95,833;94,556
BSIF+MTCD;5x5;8;0,4;95,833;94,556
BSIF+MTCD;5x5;8;0,8;95,833;94,556
BSIF+MTCD;5x5;8;0,6;95,833;94,556
BSIF+MTCD;9x9;11;0,4;95;94,53
BSIF+MTCD;11x11;5;0,2;95,417;94,44
BSIF+MTCD;9x9;8;0,2;95;94,169
BSIF+MTCD;7x7;7;0,4;94,583;94,156
BSIF+MTCD;7x7;7;0,8;94,583;94,156
BSIF+MTCD;7x7;7;0,6;94,583;94,156
BSIF+MTCD;7x7;7;N/A;94,583;94,156
BSIF+MTCD;9x9;5;0,4;95;94,138
BSIF+MTCD;9x9;5;0,6;95;94,138
BSIF+MTCD;7x7;6;0,4;95,417;94,101
BSIF+MTCD;9x9;12;0,2;94,583;93,906
BSIF+MTCD;9x9;6;0,2;94,583;93,905
BSIF+MTCD;7x7;9;0,6;94,583;93,901
BSIF+MTCD;9x9;11;0,2;94,583;93,848
BSIF+MTCD;5x5;5;N/A;95;93,773
BSIF+MTCD;5x5;5;0,8;95;93,773
BSIF+MTCD;7x7;9;0,4;94,167;93,371
BSIF+MTCD;5x5;5;0,4;94,583;93,27
BSIF+MTCD;9x9;5;0,2;94,167;93,106
BSIF+MTCD;5x5;6;0,4;94,167;92,999
BSIF+MTCD;5x5;6;0,8;94,167;92,999
BSIF+MTCD;5x5;6;N/A;94,167;92,999
BSIF+MTCD;5x5;6;0,6;94,167;92,999
BSIF+MTCD;5x5;5;0,6;94,167;92,869
BSIF+MTCD;7x7;9;0,8;93,75;92,843
BSIF+MTCD;7x7;9;N/A;93,75;92,843
BSIF+MTCD;5x5;5;0,2;94,167;92,805
BSIF+MTCD;7x7;12;0,4;94,167;92,767
