Fitur;Ukuran;Bit;PCA;Akurasi
BSIF+MTCD;7x7;11;0,2;90
BSIF+MTCD;3x3;8;0,4;82,083
BSIF+MTCD;3x3;8;0,8;82,083
BSIF+MTCD;3x3;8;N/A;82,083
BSIF+MTCD;3x3;8;0,6;82,083
BSIF+MTCD;3x3;8;0,2;82,083
BSIF+MTCD;3x3;7;0,8;80,833
BSIF+MTCD;3x3;7;N/A;80,833
BSIF+MTCD;3x3;7;0,6;80,833
BSIF+MTCD;3x3;7;0,2;80,417
BSIF+MTCD;3x3;7;0,4;80,417
