Fitur;Ukuran;Bit;PCA;Kernel;C;Akurasi
BSIF;17x17;6;0,8;linear;1;97,656 $\pm$ 0,712
BSIF;15x15;8;0,6;rbf;1;97,656 $\pm$ 0,648
BSIF;15x15;8;0,6;linear;1;97,656 $\pm$ 0,475
BSIF;15x15;11;N/A;poly;100;97,656 $\pm$ 0,697
BSIF;15x15;11;N/A;poly;10;97,656 $\pm$ 0,697
BSIF;15x15;11;N/A;poly;1;97,656 $\pm$ 0,697
BSIF;17x17;10;0,2;linear;100;97,656 $\pm$ 0,97
BSIF;15x15;8;0,6;linear;10;97,604 $\pm$ 0,312
BSIF;15x15;8;0,6;linear;100;97,604 $\pm$ 0,312
BSIF;17x17;8;0,4;rbf;1;97,604 $\pm$ 0,312
BSIF;17x17;8;0,4;linear;10;97,604 $\pm$ 0,376
BSIF;17x17;8;0,4;linear;100;97,604 $\pm$ 0,376
BSIF;15x15;7;N/A;poly;100;97,604 $\pm$ 0,914
BSIF;15x15;7;N/A;poly;1;97,604 $\pm$ 0,914
BSIF;15x15;7;N/A;poly;10;97,604 $\pm$ 0,914
BSIF;15x15;8;N/A;poly;1;97,552 $\pm$ 0,308
BSIF;15x15;8;N/A;poly;100;97,552 $\pm$ 0,308
BSIF;15x15;8;N/A;poly;10;97,552 $\pm$ 0,308
BSIF;17x17;6;0,6;rbf;10;97,552 $\pm$ 0,475
BSIF;17x17;6;0,6;rbf;100;97,552 $\pm$ 0,475
BSIF;17x17;6;0,4;rbf;1;97,552 $\pm$ 0,451
BSIF;15x15;11;0,4;rbf;1;97,552 $\pm$ 0,539
BSIF;15x15;11;0,4;rbf;100;97,552 $\pm$ 0,681
BSIF;15x15;11;0,4;rbf;10;97,552 $\pm$ 0,681
BSIF;17x17;7;0,4;linear;100;97,552 $\pm$ 0,614
BSIF;15x15;12;0,6;linear;10;97,552 $\pm$ 1,589
BSIF;15x15;12;0,6;linear;100;97,552 $\pm$ 1,589
BSIF;15x15;12;0,6;linear;1;97,552 $\pm$ 1,498
BSIF;15x15;9;0,6;linear;1;97,5 $\pm$ 0,859
BSIF;15x15;7;0,6;linear;10;97,5 $\pm$ 0,625
BSIF;15x15;7;0,6;linear;100;97,5 $\pm$ 0,625
BSIF;17x17;7;0,4;linear;10;97,5 $\pm$ 0,675
BSIF;15x15;11;0,4;linear;1;97,448 $\pm$ 0,596
BSIF;17x17;11;0,2;linear;1;97,448 $\pm$ 0,901
BSIF;17x17;6;0,6;linear;1;97,396 $\pm$ 0,667
BSIF;17x17;6;0,8;linear;100;97,396 $\pm$ 0,865
BSIF;17x17;6;0,8;linear;10;97,396 $\pm$ 0,758
BSIF;17x17;8;0,4;linear;1;97,396 $\pm$ 0,233
BSIF;15x15;12;N/A;rbf;10;97,396 $\pm$ 1,708
BSIF;15x15;12;N/A;rbf;100;97,396 $\pm$ 1,708
BSIF;17x17;6;N/A;linear;100;97,344 $\pm$ 0,936
BSIF;17x17;6;N/A;linear;10;97,344 $\pm$ 0,936
BSIF;15x15;8;0,4;rbf;100;97,344 $\pm$ 0,742
BSIF;15x15;8;0,4;rbf;10;97,344 $\pm$ 0,742
BSIF;15x15;9;N/A;linear;100;97,344 $\pm$ 0,342
BSIF;15x15;9;N/A;linear;10;97,344 $\pm$ 0,342
BSIF;15x15;9;0,8;linear;100;97,344 $\pm$ 0,475
BSIF;15x15;9;0,8;linear;10;97,344 $\pm$ 0,475
BSIF;15x15;12;N/A;poly;1;97,292 $\pm$ 1,724
BSIF;15x15;12;N/A;poly;10;97,292 $\pm$ 1,724
BSIF;15x15;12;N/A;poly;100;97,292 $\pm$ 1,724
BSIF;15x15;12;0,8;rbf;100;97,24 $\pm$ 1,782
BSIF;15x15;12;0,8;rbf;10;97,24 $\pm$ 1,782
BSIF;15x15;12;0,6;rbf;10;97,24 $\pm$ 1,701
BSIF;15x15;12;0,6;rbf;100;97,24 $\pm$ 1,701
BSIF;15x15;10;0,2;rbf;1;97,188 $\pm$ 0,616
BSIF;15x15;7;0,4;rbf;1;97,188 $\pm$ 0,983
BSIF;17x17;11;0,2;rbf;1;97,188 $\pm$ 0,699
BSIF;15x15;9;0,6;linear;10;97,135 $\pm$ 0,4
BSIF;15x15;9;0,6;linear;100;97,135 $\pm$ 0,4
BSIF;15x15;11;0,4;linear;10;97,135 $\pm$ 0,901
BSIF;15x15;11;0,4;linear;100;97,135 $\pm$ 0,901
BSIF;15x15;9;N/A;poly;1;97,135 $\pm$ 0,959
BSIF;15x15;9;N/A;poly;100;97,135 $\pm$ 0,959
BSIF;15x15;9;N/A;poly;10;97,135 $\pm$ 0,959
BSIF;17x17;11;0,2;rbf;10;97,135 $\pm$ 0,901
BSIF;17x17;11;0,2;rbf;100;97,135 $\pm$ 0,901
BSIF;17x17;9;0,2;rbf;1;97,083 $\pm$ 1,587
BSIF;15x15;8;0,4;rbf;1;97,083 $\pm$ 0,625
BSIF;15x15;9;0,4;linear;1;97,083 $\pm$ 1,093
BSIF;15x15;7;0,4;linear;1;97,031 $\pm$ 0,901
BSIF;17x17;6;N/A;poly;1;96,927 $\pm$ 0,681
BSIF;17x17;6;N/A;poly;100;96,927 $\pm$ 0,681
BSIF;17x17;6;N/A;poly;10;96,927 $\pm$ 0,681
BSIF;17x17;6;0,6;linear;100;96,927 $\pm$ 1,126
BSIF;17x17;6;0,6;linear;10;96,875 $\pm$ 0,988
BSIF;17x17;6;0,4;rbf;100;96,875 $\pm$ 0,642
BSIF;17x17;6;0,4;rbf;10;96,875 $\pm$ 0,642
BSIF;15x15;10;0,2;linear;1;96,875 $\pm$ 0,675
BSIF;17x17;9;0,2;linear;1;96,823 $\pm$ 1,035
BSIF;15x15;8;0,4;linear;100;96,823 $\pm$ 0,539
BSIF;15x15;8;0,4;linear;10;96,823 $\pm$ 0,539
BSIF;15x15;8;0,4;linear;1;96,823 $\pm$ 0,665
BSIF;17x17;11;0,2;linear;10;96,823 $\pm$ 1,116
BSIF;15x15;12;0,4;rbf;100;96,823 $\pm$ 1,623
BSIF;15x15;12;0,4;rbf;10;96,823 $\pm$ 1,623
BSIF;17x17;9;0,2;rbf;10;96,771 $\pm$ 0,865
BSIF;17x17;9;0,2;rbf;100;96,771 $\pm$ 0,865
